FISHERIES_WATERBODY_ID,LAKE_NAME,ALT_LAKE_NAME,DOW_NBR_PRIMARY,DOW_SUB_BASIN_NBR_PRIMARY,FETCH_ORIENTATION_DEGREES,LAKE_AREA_DOW_ACRES,LAKE_AREA_GIS_ACRES,LAKE_AREA_MN_ACRES,LAKE_AREA_PLANIMETERED_ACRES,LAKE_CENTER_LAT_DD5,LAKE_CENTER_LONG_DD5,LAKE_CENTER_UTM_EASTING,LAKE_CENTER_UTM_NORTHING,LAKE_CLASS_ID_PRIMARY,LAKE_CLASS_ID_ALTERNATE,LARGE_LAKE_FLAG,LITTORAL_AREA_ACRES,MAX_DEPTH_FEET,MAX_FETCH_MILES,MEAN_DEPTH_FEET,PLS_SECTION_ID_LAKE_CENTER,SHORE_LENGTH_MILES,UTM_DATUM_ID,UTM_ZONE_ID,WATERSHED_MINOR_ID
"16,469",Unnamed,,560762.0,0.0,,11.0,11,11,,46.69101,-95.93345,"275,631","5,175,091",,,N,0.0,,,,"13,704,212",1.0,83.0,15.0,"56,007"
"16,470",Unnamed,,560771.0,0.0,,32.0,26,26,,46.67194,-96.00288,"270,472","5,173,000",,,N,0.0,,,,"13,704,221",2.0,83.0,15.0,"56,007"
"16,471",Unnamed,,560776.0,0.0,,12.0,13,13,,46.63447,-95.99733,"270,583","5,168,910",,,N,0.0,,,,"13,704,233",1.0,83.0,15.0,"56,026"
"16,472",Unnamed,,560779.0,0.0,,46.0,34,34,,46.26928,-96.01724,"267,560","5,128,321",,,N,0.0,,,,"13,204,206",2.0,83.0,15.0,"56,062"
"16,473",Unnamed,,560814.0,0.0,,24.0,59,59,,46.19333,-96.07807,"262,494","5,120,134",,,N,0.0,,,,"13,104,303",2.0,83.0,15.0,"55,012"
"16,474",Unnamed,,560815.0,0.0,,23.0,21,21,,46.27417,-96.02242,"267,130","5,128,951",,,N,0.0,,,,"13,204,301",1.0,83.0,15.0,"56,062"
"16,475",One Mile,,560817.0,0.0,,27.0,45,45,,46.27763,-96.05097,"264,946","5,129,420",,,N,0.0,,,,"13,204,302",2.0,83.0,15.0,"56,062"
"16,476",Unnamed,Beyer's Slough,560827.0,0.0,,12.0,8,8,,46.25968,-96.05447,"264,599","5,127,436",,,N,0.0,,,,"13,204,311",1.0,83.0,15.0,"56,062"
"16,477",Horseshoe,,560834.0,0.0,,130.0,125,125,,46.23578,-96.07365,"263,018","5,124,838",,,N,0.0,,,,"13,204,322",3.0,83.0,15.0,"56,064"
"16,478",Wedel,,560856.0,0.0,,104.0,91,91,,46.35764,-96.13782,"258,607","5,138,571",,,N,0.0,,,,"13,304,306",3.0,83.0,15.0,"56,047"
